model,test_accuracy,test_loss
"v1 (100×100, no aug)",0.9984177350997925,0.0038696513511240482
"v3 (100×100, mild aug)",0.9208860993385315,0.34220409393310547
Δ (v3 - v1),-0.07753163576126099,0.3383344425819814
