feature,mean_healthy,median_healthy,mean_mildew,median_mildew
contrast,5.2501799016936035,5.135874100542332,4.001655646788144,3.6519241875390955
energy,0.2004570551613258,0.20415318547201,0.15727931425014852,0.15508594439842122
homogeneity,0.6158633675393751,0.6216878125648541,0.6072532988191792,0.607670089407401
correlation,0.8612100077154972,0.8655041167641158,0.8465177426669672,0.8545810721814349
