feature,mannwhitney_u,p_value,cliffs_delta
energy,3382184.0,2.4427850546524393e-193,0.528043632263008
contrast,3260299.0,1.5967295679900908e-155,0.47297696583729704
homogeneity,2495587.0,8.003565942520901e-13,0.12748621130853416
correlation,2417297.0,2.28816817411577e-07,0.09211541658835605
