accuracy,loss,val_accuracy,val_loss
0.504755437374115,1.1918134689331055,0.5229793787002563,0.6879165768623352
0.5054348111152649,0.6942458152770996,0.508716344833374,0.7021474838256836
0.495244562625885,0.7030487060546875,0.5229793787002563,0.6888077259063721
0.5023776888847351,0.6935715079307556,0.6307448744773865,0.6471222043037415
0.50951087474823,0.6986132264137268,0.6006339192390442,0.6523007750511169
0.4962635934352875,0.6914508938789368,0.7353407144546509,0.6530512571334839
0.49354618787765503,0.6887490749359131,0.7258319854736328,0.5573004484176636
0.5132473111152649,0.6878662705421448,0.7527734041213989,0.5955121517181396
0.5146059989929199,0.7468370199203491,0.749603807926178,0.5836856961250305
0.50951087474823,0.7239871621131897,0.7258319854736328,0.647394061088562
0.5037364363670349,0.6848708987236023,0.838351845741272,0.5046798586845398
0.5227581262588501,0.6893746256828308,0.7670364379882812,0.5802673101425171
0.52173912525177,0.6804220080375671,0.746434211730957,0.5062596201896667
0.5071331262588501,0.6879361271858215,0.8652932047843933,0.563990592956543
0.522078812122345,0.6852561831474304,0.911251962184906,0.4003923833370209
0.5050951242446899,0.6952522397041321,0.8557844758033752,0.4809325635433197
0.51732337474823,0.6941015720367432,0.8795562386512756,0.3486320972442627
0.5183423757553101,0.6836317777633667,0.8335974812507629,0.5093041658401489
0.5261548757553101,0.681625485420227,0.8335974812507629,0.39861249923706055
0.503057062625885,0.702459990978241,0.830427885055542,0.493650883436203
