accuracy,loss,val_accuracy,val_loss
0.9042119383811951,0.21146811544895172,0.9920760989189148,0.025797486305236816
0.9928668737411499,0.0277739055454731,0.9984152317047119,0.01045380998402834
0.9979619383811951,0.00997086614370346,0.9984152317047119,0.006702955812215805
1.0,0.003990029916167259,0.9984152317047119,0.0081845847889781
0.999660313129425,0.0030267001129686832,0.9984152317047119,0.004327699542045593
0.99388587474823,0.015891574323177338,0.9984152317047119,0.003901606658473611
1.0,0.0011594118550419807,0.9984152317047119,0.0041703335009515285
1.0,0.0002936760429292917,0.9984152317047119,0.003323300275951624
0.9993206262588501,0.0022433348931372166,0.9984152317047119,0.010786943137645721
1.0,0.0022415071725845337,0.9984152317047119,0.00732686510309577
1.0,0.00018923776224255562,0.9984152317047119,0.005509409587830305
